feature,importance
G2,0.8975431981598154
absences,0.011603567962724326
G1,0.009911520012501908
famrel,0.007945678081078513
studytime,0.0070862704903285785
goout,0.006058800438565074
traveltime,0.005598726196629952
Dalc,0.004735982223274595
Walc,0.003888439993623511
Medu,0.003688677523896425
school,0.003574859122585144
freetime,0.0034289020040932485
Fjob_other,0.002848513384922035
health,0.0028122714118664744
Pstatus,0.0026729121960411095
failures_yes,0.0021633463474381373
activities_yes,0.002050437911152634
Fedu_other,0.001978463038799517
paid_yes,0.0018760427271945239
romantic_yes,0.0018635185445020114
sex_U,0.0018169112369760489
guardian,0.0017600068865052426
Fedu_teacher,0.001671012518874867
nursery_yes,0.0013070839611257535
internet_yes,0.0012578332732514142
schoolsup_yes,0.001149779601096008
Fjob_mother,0.0011354470751887072
addreSEEEize_T,0.001087019913628553
higher_yes,0.0010460687688904219
age_LE3,0.0010281090575170644
Mjob_other,0.0008927804850259287
Mjob_services,0.0008810698645020752
Fedu_services,0.0007534959347449463
Fedu_health,0.0006069153958243397
Mjob_teacher,0.0001473241304099713
Mjob_health,0.00012901412540539448
